time,signal,trade_dir,trade_end,hp,trade_pnl
2018-12-17 13:42:00,-1.0,1.0,1.0,1.0,0.14452879302336896
2018-12-17 13:48:00,1.0,-1.0,1.0,6.0,1.935663260931733
2018-12-17 13:50:00,-1.0,1.0,1.0,2.0,-0.11471339866363905
2018-12-17 13:51:00,1.0,-1.0,1.0,1.0,-0.7103512342815748
2018-12-17 13:54:00,-1.0,1.0,1.0,3.0,-0.30974845494733927
2018-12-17 13:55:00,1.0,-1.0,1.0,1.0,-0.7563162252067741
2018-12-17 13:58:00,-1.0,1.0,1.0,3.0,0.8390985162350262
2018-12-17 14:01:00,1.0,-1.0,1.0,3.0,1.2114132157746553
2018-12-17 14:02:00,-1.0,1.0,1.0,1.0,-0.5686399316633697
2018-12-17 14:05:00,1.0,-1.0,1.0,3.0,0.6262917277709903
2018-12-17 14:08:00,-1.0,1.0,1.0,3.0,0.3360246079885201
2018-12-17 14:11:00,1.0,-1.0,1.0,3.0,-0.16386716815588898
2018-12-17 14:12:00,-1.0,1.0,1.0,1.0,-0.13168959955260107
2018-12-17 14:14:00,1.0,-1.0,1.0,2.0,-0.1715061088150378
2018-12-17 14:15:00,-1.0,1.0,1.0,1.0,-0.3595337700712662
2018-12-17 14:16:00,1.0,-1.0,1.0,1.0,-0.4577280593726982
2018-12-17 14:17:00,-1.0,1.0,1.0,1.0,-0.6257761566126874
2018-12-17 14:18:00,1.0,-1.0,1.0,1.0,-0.5070194752430552
2018-12-17 14:19:00,-1.0,1.0,1.0,1.0,-0.6702317088543168
2018-12-17 14:20:00,1.0,-1.0,1.0,1.0,-0.3274621164380278
2018-12-17 14:22:00,-1.0,1.0,1.0,2.0,1.0479984345720368
2018-12-17 14:26:00,1.0,-1.0,1.0,4.0,1.4843494986339465
2018-12-17 14:27:00,-1.0,1.0,1.0,1.0,-0.4902757988437543
2018-12-17 14:32:00,1.0,-1.0,1.0,5.0,0.10914640570126721
2018-12-17 14:33:00,-1.0,1.0,1.0,1.0,-0.2416628458983041
2018-12-17 14:39:00,1.0,-1.0,1.0,6.0,0.5991871155791841
2018-12-17 14:42:00,-1.0,1.0,1.0,3.0,2.1563319857685883
2018-12-17 14:44:00,1.0,-1.0,1.0,2.0,-0.4852812989956874
2018-12-17 14:46:00,-1.0,1.0,1.0,2.0,0.8221688224875834
2018-12-17 14:55:00,1.0,-1.0,1.0,9.0,3.223832469494482
2018-12-17 14:56:00,-1.0,1.0,1.0,1.0,-0.5462851812546887
2018-12-17 14:59:00,1.0,-1.0,1.0,3.0,-0.6671428182280579
2018-12-17 15:00:00,-1.0,1.0,1.0,1.0,-0.7731892433528174
2018-12-17 15:01:00,1.0,-1.0,1.0,1.0,-0.31937063838859103
2018-12-17 15:02:00,-1.0,1.0,1.0,1.0,-0.4807739680350096
2018-12-17 15:03:00,1.0,-1.0,1.0,1.0,-0.2752874182169762
2018-12-17 15:04:00,-1.0,1.0,1.0,1.0,-0.7937263497740332
2018-12-17 15:06:00,1.0,-1.0,1.0,2.0,-1.4404600701672052
2018-12-17 15:07:00,-1.0,1.0,1.0,1.0,-0.37758352497849046
2018-12-17 15:10:00,1.0,-1.0,1.0,3.0,0.6599957183771039
2018-12-17 15:13:00,-1.0,1.0,1.0,3.0,0.26811169886263997
2018-12-17 15:17:00,1.0,-1.0,1.0,4.0,0.09755065521164852
2018-12-17 15:19:00,-1.0,1.0,1.0,2.0,-0.33107632115843444
2018-12-17 15:24:00,1.0,-1.0,1.0,5.0,1.7354511282162548
2018-12-17 15:25:00,-1.0,1.0,1.0,1.0,-1.1833388610116344
2018-12-17 15:27:00,1.0,-1.0,1.0,2.0,0.38413777144751293
2018-12-17 15:28:00,-1.0,1.0,1.0,1.0,-0.6836738673923719
2018-12-17 15:29:00,1.0,-1.0,1.0,1.0,-1.4356244804791913
2018-12-17 15:30:00,-1.0,1.0,1.0,1.0,-0.5740592667542614
2018-12-17 15:32:00,1.0,-1.0,1.0,2.0,0.904576528928942
2018-12-17 15:33:00,-1.0,1.0,1.0,1.0,-0.8457068929782281
2018-12-17 15:36:00,1.0,-1.0,1.0,3.0,0.19430253212499338
2018-12-17 15:38:00,-1.0,1.0,1.0,2.0,0.825655632472035
2018-12-17 15:41:00,1.0,-1.0,1.0,3.0,0.9414211391916751
2018-12-17 15:42:00,-1.0,1.0,1.0,1.0,-0.5905277979753691
2018-12-17 15:45:00,1.0,-1.0,1.0,3.0,0.5666361820232169
2018-12-17 15:46:00,-1.0,1.0,1.0,1.0,-1.2206161696875597
2018-12-17 15:47:00,1.0,-1.0,1.0,1.0,0.6546240523171036
2018-12-17 15:48:00,-1.0,1.0,1.0,1.0,-0.779184607345428
2018-12-17 15:49:00,1.0,-1.0,1.0,1.0,-1.2155436108005233
2018-12-18 09:31:00,-1.0,1.0,1.0,12.0,14.84361326364774
2018-12-18 09:33:00,1.0,-1.0,1.0,2.0,0.0022297046143648913
2018-12-18 09:34:00,-1.0,1.0,1.0,1.0,-1.2655797368477124
2018-12-18 09:40:00,1.0,-1.0,1.0,6.0,0.7405832563420063
2018-12-18 09:41:00,-1.0,1.0,1.0,1.0,0.3268272208790677
2018-12-18 09:42:00,1.0,-1.0,1.0,1.0,-1.6345336336196397
2018-12-18 09:44:00,-1.0,1.0,1.0,2.0,1.2319235098123045
2018-12-18 09:46:00,1.0,-1.0,1.0,2.0,-0.16627059715619907
2018-12-18 09:48:00,-1.0,1.0,1.0,2.0,0.09456060071852335
2018-12-18 09:50:00,1.0,-1.0,1.0,2.0,0.034751085462630726
2018-12-18 09:53:00,-1.0,1.0,1.0,3.0,0.407918693905458
2018-12-18 09:55:00,1.0,-1.0,1.0,2.0,-1.5302049090562377
2018-12-18 09:56:00,-1.0,1.0,1.0,1.0,0.14592904035316678
2018-12-18 09:58:00,1.0,-1.0,1.0,2.0,-0.5255355324218272
2018-12-18 09:59:00,-1.0,1.0,1.0,1.0,-0.3245130072309621
2018-12-18 10:05:00,1.0,-1.0,1.0,6.0,2.4949220190433152
2018-12-18 10:06:00,-1.0,1.0,1.0,1.0,0.24573930583596848
2018-12-18 10:07:00,1.0,-1.0,1.0,1.0,-0.6075336780943417
2018-12-18 10:08:00,-1.0,1.0,1.0,1.0,-0.7500119007113426
2018-12-18 10:12:00,1.0,-1.0,1.0,4.0,1.0603557542731323
2018-12-18 10:15:00,-1.0,1.0,1.0,3.0,2.469611607216166
2018-12-18 10:18:00,1.0,-1.0,1.0,3.0,0.12293186882925511
2018-12-18 10:20:00,-1.0,1.0,1.0,2.0,0.6374681323736695
2018-12-18 10:22:00,1.0,-1.0,1.0,2.0,1.076990928064106
2018-12-18 10:23:00,-1.0,1.0,1.0,1.0,-0.28997448330505904
2018-12-18 10:24:00,1.0,-1.0,1.0,1.0,-1.280733613098164
2018-12-18 10:28:00,-1.0,1.0,1.0,4.0,1.7661810683462136
2018-12-18 10:30:00,1.0,-1.0,1.0,2.0,0.1498008646328799
2018-12-18 10:32:00,-1.0,1.0,1.0,2.0,-0.28916801876107456
2018-12-18 10:38:00,1.0,-1.0,1.0,6.0,1.1955750914378314
2018-12-18 10:41:00,-1.0,1.0,1.0,3.0,-0.651647789179151
2018-12-18 10:45:00,1.0,-1.0,1.0,4.0,2.7841409183427004
2018-12-18 10:46:00,-1.0,1.0,1.0,1.0,-0.5167504095566073
2018-12-18 10:48:00,1.0,-1.0,1.0,2.0,-0.07303658028513382
2018-12-18 10:50:00,-1.0,1.0,1.0,2.0,0.7821646726108611
2018-12-18 10:51:00,1.0,-1.0,1.0,1.0,-1.435128562271757
2018-12-18 10:52:00,-1.0,1.0,1.0,1.0,-0.21246657393226087
2018-12-18 10:59:00,1.0,-1.0,1.0,7.0,1.2414097749808661
2018-12-18 11:01:00,-1.0,1.0,1.0,2.0,0.3858857381517282
2018-12-18 11:02:00,1.0,-1.0,1.0,1.0,-0.5596970151584628
2018-12-18 11:03:00,-1.0,1.0,1.0,1.0,-1.1259826797936512
2018-12-18 11:05:00,1.0,-1.0,1.0,2.0,0.5534402561606839
2018-12-18 11:08:00,-1.0,1.0,1.0,3.0,-0.12050277369371543
2018-12-18 11:09:00,1.0,-1.0,1.0,1.0,-0.443346569797086
2018-12-18 11:10:00,-1.0,1.0,1.0,1.0,-0.5460375020134052
2018-12-18 11:11:00,1.0,-1.0,1.0,1.0,-0.36065200753387217
2018-12-18 11:13:00,-1.0,1.0,1.0,2.0,-0.34330528118880466
2018-12-18 11:14:00,1.0,-1.0,1.0,1.0,-0.7193112901725272
2018-12-18 11:15:00,-1.0,1.0,1.0,1.0,-0.7187952781680451
2018-12-18 11:17:00,1.0,-1.0,1.0,2.0,0.6630575367892106
2018-12-18 11:18:00,-1.0,1.0,1.0,1.0,-0.7694472355567541
2018-12-18 11:19:00,1.0,-1.0,1.0,1.0,-0.783194512848695
2018-12-18 11:20:00,-1.0,1.0,1.0,1.0,-0.6577860689851605
2018-12-18 11:25:00,1.0,-1.0,1.0,5.0,0.3023640349406378
2018-12-18 11:27:00,-1.0,1.0,1.0,2.0,-0.6875725239290205
2018-12-18 11:28:00,1.0,-1.0,1.0,1.0,-0.8261596774339068
2018-12-18 11:30:00,-1.0,1.0,1.0,2.0,0.5562083712056847
2018-12-18 11:32:00,1.0,-1.0,1.0,2.0,-0.5136470229613224
2018-12-18 11:38:00,-1.0,1.0,1.0,6.0,3.1885055757782084
2018-12-18 11:39:00,1.0,-1.0,1.0,1.0,-0.5734306278795884
2018-12-18 11:43:00,-1.0,1.0,1.0,4.0,-0.4693973442315382
2018-12-18 11:44:00,1.0,-1.0,1.0,1.0,0.06627176503047849
2018-12-18 11:46:00,-1.0,1.0,1.0,2.0,-0.5712843734579565
2018-12-18 11:47:00,1.0,-1.0,1.0,1.0,-0.915616258711907
2018-12-18 11:49:00,-1.0,1.0,1.0,2.0,0.3283550941810063
2018-12-18 11:54:00,1.0,-1.0,1.0,5.0,1.3987952498500817
2018-12-18 11:58:00,-1.0,1.0,1.0,4.0,-0.08787220346357572
2018-12-18 12:00:00,1.0,-1.0,1.0,2.0,-0.5669222536162124
2018-12-18 12:01:00,-1.0,1.0,1.0,1.0,-0.10013797528449686
2018-12-18 12:02:00,1.0,-1.0,1.0,1.0,-0.9170627533108018
2018-12-18 12:03:00,-1.0,1.0,1.0,1.0,-0.6224050961411649
2018-12-18 12:04:00,1.0,-1.0,1.0,1.0,-0.9126265325855911
2018-12-18 12:06:00,-1.0,1.0,1.0,2.0,2.5530865008879573
2018-12-18 12:07:00,1.0,-1.0,1.0,1.0,-0.8156233889076248
2018-12-18 12:11:00,-1.0,1.0,1.0,4.0,2.385965289460273
2018-12-18 12:13:00,1.0,-1.0,1.0,2.0,-1.10412788273743
2018-12-18 12:14:00,-1.0,1.0,1.0,1.0,-0.4434762244547983
2018-12-18 12:15:00,1.0,-1.0,1.0,1.0,-0.15756478361117843
2018-12-18 12:20:00,-1.0,1.0,1.0,5.0,0.8533917336187642
2018-12-18 12:22:00,1.0,-1.0,1.0,2.0,-0.14459895854429305
2018-12-18 12:23:00,-1.0,1.0,1.0,1.0,-0.9530261165762113
2018-12-18 12:25:00,1.0,-1.0,1.0,2.0,-0.22970854103391503
2018-12-18 12:28:00,-1.0,1.0,1.0,3.0,-0.30413966270953097
2018-12-18 12:30:00,1.0,-1.0,1.0,2.0,-0.5742082825136094
2018-12-18 12:33:00,-1.0,1.0,1.0,3.0,0.9285877598733805
2018-12-18 12:41:00,1.0,-1.0,1.0,8.0,1.9023682189738338
2018-12-18 12:44:00,-1.0,1.0,1.0,3.0,0.08310324526337354
2018-12-18 12:45:00,1.0,-1.0,1.0,1.0,-1.5422922560883308
2018-12-18 12:46:00,-1.0,1.0,1.0,1.0,-0.18237489494254078
2018-12-18 12:47:00,1.0,-1.0,1.0,1.0,-0.2984958379570344
2018-12-18 12:49:00,-1.0,1.0,1.0,2.0,0.7270474790611843
2018-12-18 12:50:00,1.0,-1.0,1.0,1.0,-0.42053709064316536
2018-12-18 12:55:00,-1.0,1.0,1.0,5.0,0.652629764170797
2018-12-18 12:58:00,1.0,-1.0,1.0,3.0,-0.07733588817495729
2018-12-18 12:59:00,-1.0,1.0,1.0,1.0,-0.7479092840053454
2018-12-18 13:01:00,1.0,-1.0,1.0,2.0,0.673269133731992
2018-12-18 13:03:00,-1.0,1.0,1.0,2.0,-0.800969965219565
2018-12-18 13:09:00,1.0,-1.0,1.0,6.0,0.8696196583966866
2018-12-18 13:11:00,-1.0,1.0,1.0,2.0,0.23487465892003456
2018-12-18 13:12:00,1.0,-1.0,1.0,1.0,-0.7779508390556202
2018-12-18 13:14:00,-1.0,1.0,1.0,2.0,0.013806386540181848
2018-12-18 13:16:00,1.0,-1.0,1.0,2.0,0.3172255427980417
2018-12-18 13:17:00,-1.0,1.0,1.0,1.0,-0.39822338304816185
2018-12-18 13:18:00,1.0,-1.0,1.0,1.0,-0.4698862205907517
2018-12-18 13:21:00,-1.0,1.0,1.0,3.0,-0.08145930664613843
2018-12-18 13:22:00,1.0,-1.0,1.0,1.0,-0.7643691365085488
2018-12-18 13:23:00,-1.0,1.0,1.0,1.0,-0.7202010610646994
2018-12-18 13:29:00,1.0,-1.0,1.0,6.0,0.7376405200263889
2018-12-18 13:30:00,-1.0,1.0,1.0,1.0,-0.4613258879537625
2018-12-18 13:31:00,1.0,-1.0,1.0,1.0,-0.34111873475785615
2018-12-18 13:33:00,-1.0,1.0,1.0,2.0,-0.906794883910834
2018-12-18 13:39:00,1.0,-1.0,1.0,6.0,2.828088144011872
2018-12-18 13:41:00,-1.0,1.0,1.0,2.0,-0.4113273801624473
2018-12-18 13:42:00,1.0,-1.0,1.0,1.0,-0.4908337680760724
2018-12-18 13:43:00,-1.0,1.0,1.0,1.0,-0.2024439474580504
2018-12-18 13:44:00,1.0,-1.0,1.0,1.0,-0.6736843889573265
2018-12-18 13:46:00,-1.0,1.0,1.0,2.0,-0.1415341081749375
2018-12-18 13:47:00,1.0,-1.0,1.0,1.0,-0.607492118721666
2018-12-18 13:50:00,-1.0,1.0,1.0,3.0,0.17034381983603453
2018-12-18 13:54:00,1.0,-1.0,1.0,4.0,1.7859754817704925
2018-12-18 13:55:00,-1.0,1.0,1.0,1.0,-0.7524634320284349
2018-12-18 13:57:00,1.0,-1.0,1.0,2.0,-0.023567799444435877
2018-12-18 14:01:00,-1.0,1.0,1.0,4.0,0.8658187600226483
2018-12-18 14:04:00,1.0,-1.0,1.0,3.0,-0.3594280686052116
2018-12-18 14:05:00,-1.0,1.0,1.0,1.0,-0.5234890833994541
2018-12-18 14:06:00,1.0,-1.0,1.0,1.0,-0.11619659250141012
2018-12-18 14:07:00,-1.0,1.0,1.0,1.0,-0.24921080093690762
2018-12-18 14:08:00,1.0,-1.0,1.0,1.0,-0.7859820862224751
2018-12-18 14:10:00,-1.0,1.0,1.0,2.0,1.0387554022624954
2018-12-18 14:11:00,1.0,-1.0,1.0,1.0,-0.6218239867448574
2018-12-18 14:13:00,-1.0,1.0,1.0,2.0,-0.6387128227431731
2018-12-18 14:17:00,1.0,-1.0,1.0,4.0,1.1440907320957194
2018-12-18 14:18:00,-1.0,1.0,1.0,1.0,-1.149086576304171
2018-12-18 14:19:00,1.0,-1.0,1.0,1.0,-0.8292656734920456
2018-12-18 14:21:00,-1.0,1.0,1.0,2.0,0.2262672448396188
2018-12-18 14:22:00,1.0,-1.0,1.0,1.0,-0.3129710696177881
2018-12-18 14:23:00,-1.0,1.0,1.0,1.0,-0.6704881311793542
2018-12-18 14:25:00,1.0,-1.0,1.0,2.0,-0.14568498662765705
2018-12-18 14:28:00,-1.0,1.0,1.0,3.0,0.4987244566946174
2018-12-18 14:29:00,1.0,-1.0,1.0,1.0,-0.40797611828406843
2018-12-18 14:30:00,-1.0,1.0,1.0,1.0,-0.7636111059812265
2018-12-18 14:35:00,1.0,-1.0,1.0,5.0,2.2222201558290635
2018-12-18 14:36:00,-1.0,1.0,1.0,1.0,-0.799486040783222
2018-12-18 14:37:00,1.0,-1.0,1.0,1.0,0.18626908350620397
2018-12-18 14:38:00,-1.0,1.0,1.0,1.0,-0.4122420765525021
2018-12-18 14:43:00,1.0,-1.0,1.0,5.0,1.553034708445466
2018-12-18 14:44:00,-1.0,1.0,1.0,1.0,-0.8412646905187557
2018-12-18 14:45:00,1.0,-1.0,1.0,1.0,-0.43371858305545175
2018-12-18 14:47:00,-1.0,1.0,1.0,2.0,-0.6425621771848
2018-12-18 14:49:00,1.0,-1.0,1.0,2.0,-0.9625166066869042
2018-12-18 14:52:00,-1.0,1.0,1.0,3.0,0.13758634585087748
2018-12-18 15:00:00,1.0,-1.0,1.0,8.0,3.122770533213952
2018-12-18 15:01:00,-1.0,1.0,1.0,1.0,-1.2254299265105146
2018-12-18 15:02:00,1.0,-1.0,1.0,1.0,-1.3859414564415147
2018-12-18 15:03:00,-1.0,1.0,1.0,1.0,0.1500725466971744
2018-12-18 15:06:00,1.0,-1.0,1.0,3.0,0.49363346058044044
2018-12-18 15:08:00,-1.0,1.0,1.0,2.0,-0.861984048603972
2018-12-18 15:09:00,1.0,-1.0,1.0,1.0,0.7641080881446669
2018-12-18 15:11:00,-1.0,1.0,1.0,2.0,1.0765226540427193
2018-12-18 15:15:00,1.0,-1.0,1.0,4.0,0.37132668869048757
2018-12-18 15:19:00,-1.0,1.0,1.0,4.0,1.974939672275923
2018-12-18 15:21:00,1.0,-1.0,1.0,2.0,-0.6780193476370187
2018-12-18 15:22:00,-1.0,1.0,1.0,1.0,-0.14876066713281944
2018-12-18 15:24:00,1.0,-1.0,1.0,2.0,0.020488503142814807
2018-12-18 15:25:00,-1.0,1.0,1.0,1.0,-1.0836441242040564
2018-12-18 15:29:00,1.0,-1.0,1.0,4.0,0.3266063876787939
2018-12-18 15:34:00,-1.0,1.0,1.0,5.0,3.940361224189246
2018-12-18 15:35:00,1.0,-1.0,1.0,1.0,-0.6946564573340765
2018-12-18 15:36:00,-1.0,1.0,1.0,1.0,-0.6012668248677073
2018-12-18 15:39:00,1.0,-1.0,1.0,3.0,-0.6202263521872737
2018-12-18 15:42:00,-1.0,1.0,1.0,3.0,0.950058548123252
2018-12-18 15:43:00,1.0,-1.0,1.0,1.0,-1.1044481005840225
2018-12-18 15:48:00,-1.0,1.0,1.0,5.0,2.2523626313038676
2018-12-18 15:49:00,1.0,-1.0,1.0,1.0,-1.3045934688357192
2018-12-18 15:53:00,-1.0,1.0,1.0,4.0,1.2835581370452473
2018-12-18 15:54:00,1.0,-1.0,1.0,1.0,-0.7944354235985429
